0.00, 16.18, 45.46, 34.37, 29.29, 9.30, 21.58, 19.28, 36.51, 28.40, 44.98, 15.39, 13.64, 6.52, 24.76, 27.10, 38.13, 45.90, 33.82, 45.78, 36.07, 2.29, 38.91, 1.57, 12.23, 20.73, 40.91, 6.36, 11.46, 11.22, 8.78, 25.38, 41.70, 38.29, 16.57, 32.02, 30.26, 4.36, 46.04, 13.66
25.65, 0.00, 15.26, 41.88, 27.23, 43.52, 32.51, 38.96, 18.64, 22.48, 45.02, 42.66, 21.54, 5.09, 31.97, 11.52, 47.25, 24.67, 48.72, 1.10, 41.25, 44.94, 34.92, 2.15, 47.80, 34.59, 27.82, 40.09, 2.66, 18.62, 15.21, 6.51, 20.71, 42.23, 2.06, 43.87, 45.74, 31.25, 37.47, 43.98
2.13, 35.95, 0.00, 31.78, 33.15, 6.78, 33.47, 19.39, 18.70, 44.88, 6.78, 36.34, 21.26, 47.59, 22.47, 40.13, 43.93, 0.60, 32.87, 10.25, 29.15, 10.11, 40.84, 41.90, 33.70, 46.03, 3.35, 15.43, 47.51, 15.77, 30.61, 22.67, 46.59, 4.30, 27.02, 3.04, 35.79, 12.04, 7.49, 17.62
11.12, 32.60, 6.72, 0.00, 22.90, 0.30, 47.10, 39.43, 25.19, 15.98, 39.43, 19.07, 26.13, 33.86, 40.82, 41.77, 44.68, 23.05, 40.48, 14.87, 25.66, 29.38, 26.16, 33.04, 9.90, 39.43, 29.58, 41.09, 36.58, 16.07, 32.34, 24.84, 4.59, 25.12, 9.73, 33.55, 30.84, 24.34, 18.95, 30.54
0.18, 16.48, 32.24, 29.22, 0.00, 43.67, 45.65, 45.56, 44.24, 36.79, 48.46, 26.94, 16.53, 21.95, 46.37, 21.90, 13.10, 19.68, 32.28, 36.66, 21.52, 6.04, 8.43, 35.21, 32.93, 7.92, 40.60, 28.02, 41.66, 14.48, 45.24, 44.03, 19.09, 30.77, 11.38, 44.48, 33.94, 38.69, 41.59, 8.64
17.40, 19.55, 16.41, 28.75, 22.02, 0.00, 32.41, 13.14, 15.14, 10.21, 40.58, 35.37, 35.74, 6.78, 35.72, 11.00, 17.69, 5.31, 47.69, 27.12, 27.85, 27.33, 11.07, 2.81, 31.87, 21.25, 15.02, 22.56, 0.68, 31.06, 21.71, 45.65, 33.23, 37.51, 29.73, 21.47, 43.63, 27.86, 35.50, 19.56
40.78, 17.22, 20.94, 46.94, 38.54, 42.55, 0.00, 5.95, 34.17, 41.61, 6.23, 25.91, 49.10, 3.61, 12.77, 17.04, 0.52, 42.36, 38.53, 46.30, 16.07, 5.32, 31.54, 18.45, 35.40, 36.44, 43.64, 43.43, 17.18, 43.84, 43.55, 42.63, 6.96, 34.38, 27.61, 46.44, 20.77, 12.56, 31.05, 14.87
47.37, 19.00, 11.57, 14.32, 37.18, 34.79, 1.57, 0.00, 49.45, 36.18, 43.04, 11.13, 12.09, 29.06, 28.54, 36.56, 24.21, 30.93, 38.57, 33.26, 21.75, 24.16, 3.92, 0.90, 21.95, 32.75, 34.89, 27.90, 20.90, 26.56, 16.28, 3.09, 1.13, 35.43, 49.89, 41.76, 17.45, 37.98, 32.92, 2.04
34.24, 35.13, 44.10, 15.88, 27.01, 18.84, 18.46, 49.32, 0.00, 24.46, 45.03, 36.05, 38.05, 46.74, 46.87, 3.59, 40.50, 42.06, 34.75, 39.53, 49.46, 1.93, 21.42, 32.26, 8.01, 20.20, 14.29, 21.51, 22.80, 28.41, 14.71, 3.81, 45.28, 19.05, 47.42, 8.84, 15.53, 21.70, 31.06, 45.78
46.33, 22.82, 48.48, 35.47, 30.32, 39.13, 49.00, 31.85, 23.36, 0.00, 40.82, 2.42, 8.11, 32.20, 19.93, 11.95, 35.32, 40.35, 5.40, 24.13, 25.23, 31.08, 44.40, 27.83, 15.78, 13.69, 44.95, 28.83, 21.72, 45.19, 15.81, 22.15, 44.40, 23.52, 10.81, 23.88, 9.72, 22.95, 47.81, 30.94
