0.00,1 9.61, 3.29, 27.51, 21.21, 12.71, 38.31, 15.75, 1.69, 48.52, 15.69, 25.91, 34.45, 43.44, 39.31, 14.70, 13.24, 3.58, 27.87, 26.46, 2.64, 30.37, 30.08, 48.05, 43.63
12.48, 0.00, 18.24, 32.28, 0.46, 32.47, 27.84, 23.04, 31.04, 33.87, 20.27, 9.88, 38.39, 48.11, 17.23, 49.53, 17.36, 20.14, 2.70, 29.28, 46.59, 30.59, 2.38, 8.29, 42.89
37.23, 15.75, 0.00, 33.36, 25.89, 7.55, 12.75, 16.37, 9.60, 22.06, 39.37, 25.28, 23.06, 6.23, 45.76, 7.77, 2.01, 42.21, 41.05, 39.72, 22.36, 1.87, 2.69, 4.91, 37.38
25.81, 35.76, 11.21, 0.00, 9.27, 6.12, 9.82, 4.20, 35.55, 9.19, 35.35, 11.05, 13.12, 39.07, 29.35, 23.49, 32.08, 18.92, 19.10, 39.73, 11.91, 19.05, 28.73, 27.60, 42.69
23.56, 41.58, 33.55, 7.25, 0.00, 44.22, 9.19, 1.52, 36.23, 26.92, 5.69, 38.53, 4.91, 37.85, 15.61, 31.25, 24.38, 24.56, 8.27, 3.35, 16.59, 46.40, 38.77, 40.11, 28.20
11.79, 42.43, 37.03, 21.33, 12.12, 0.00, 13.51, 26.97, 35.93, 24.94, 18.03, 37.46, 3.88, 5.14, 2.89, 16.11, 48.81, 26.41, 23.00, 32.68, 24.92, 49.99, 18.39, 40.09, 10.97
16.62, 24.54, 46.02, 49.13, 17.35, 11.57, 0.00, 22.37, 43.24, 25.80, 22.86, 31.16, 48.01, 18.44, 17.01, 15.43, 31.72, 21.04, 12.23, 42.53, 40.02, 3.98, 8.29, 45.26, 7.18
14.68, 19.89, 10.33, 45.44, 28.76, 27.75, 33.82, 0.00, 29.59, 8.91, 24.76, 5.34, 38.71, 26.40, 1.84, 26.33, 21.25, 46.77, 48.61, 4.78, 31.12, 18.21, 11.32, 47.87, 42.78
7.48, 25.36, 31.72, 7.83, 38.58, 8.45, 32.67, 14.65, 0.00, 21.98, 27.41, 4.65, 15.44, 37.78, 24.72, 32.33, 10.38, 39.07, 5.45, 13.06, 36.20, 24.64, 19.47, 29.18, 0.34
8.71, 3.46, 28.25, 41.27, 45.13, 46.16, 17.94, 37.56, 36.92, 0.00, 38.50, 37.31, 25.62, 2.03, 37.67, 41.70, 16.48, 5.11, 41.91, 28.27, 39.83, 49.63, 40.42, 11.11, 41.85
31.03, 25.65, 43.22, 36.73, 46.13, 9.13, 5.93, 16.36, 43.76, 37.90, 0.00, 38.45, 14.51, 36.88, 18.82, 17.79, 33.36, 17.98, 3.21, 38.73, 12.42, 3.87, 22.53, 4.90, 49.97
32.48, 25.94, 40.79, 42.10, 32.05, 24.76, 39.29, 10.38, 23.38, 17.38, 24.58, 0.00, 30.33, 5.84, 27.90, 43.85, 15.91, 40.06, 29.40, 0.27, 12.57, 7.74, 1.87, 18.71, 15.71
