0.00, 10.66, 29.61, 7.13, 49.97, 43.89, 46.16, 3.23, 4.15, 37.81, 17.25, 13.79, 33.14, 44.02, 11.01, 41.70, 11.96, 0.86, 38.15, 6.08
3.83, 0.00, 4.60, 49.12, 12.96, 31.32, 1.95, 25.99, 13.83, 43.49, 5.48, 18.21, 45.39, 41.68, 35.29, 46.75, 27.31, 4.74, 49.15, 12.69
29.47, 23.87, 0.00, 2.63, 31.30, 32.46, 9.60, 44.86, 30.96, 16.22, 21.04, 12.57, 41.84, 14.63, 29.82, 37.69, 15.17, 42.10, 3.26, 31.73
19.92, 36.41, 14.11, 0.00, 43.71, 15.32, 17.33, 9.53, 35.44, 7.93, 13.52, 15.13, 5.60, 18.55, 20.37, 3.50, 46.94, 47.36, 15.49, 19.98
40.73, 24.55, 10.01, 47.91, 0.00, 39.54, 46.37, 21.08, 31.16, 29.46, 43.49, 16.32, 17.91, 29.17, 47.30, 29.81, 19.70, 15.04, 40.48, 3.51
39.32, 31.25, 0.57, 19.67, 25.42, 0.00, 35.61, 9.28, 41.49, 22.99, 40.95, 15.97, 46.27, 4.77, 26.10, 7.56, 31.87, 44.29, 26.29, 1.83
1.28, 34.50, 21.01, 29.12, 22.52, 6.92, 0.00, 8.66, 6.65, 6.41, 21.03, 29.19, 16.39, 31.36, 5.87, 25.95, 43.62, 6.63, 29.73, 24.59
11.60, 17.90, 38.62, 43.85, 8.30, 30.50, 39.78, 0.00, 40.99, 28.94, 20.85, 11.58, 31.34, 43.91, 31.97, 34.07, 31.27, 28.61, 8.03, 45.99
48.71, 15.04, 9.06, 15.45, 12.22, 31.55, 13.64, 1.64, 0.00, 6.22, 13.22, 43.83, 5.08, 12.33, 46.95, 49.72, 48.46, 40.11, 20.49, 5.74
29.66, 43.46, 37.60, 2.93, 14.60, 48.78, 0.97, 23.26, 40.94, 0.00, 49.75, 17.54, 1.58, 36.23, 17.22, 39.28, 6.80, 4.96, 40.37, 35.69
33.39, 33.10, 48.06, 48.67, 43.50, 37.15, 37.88, 40.70, 13.57, 15.85, 0.00, 41.93, 37.04, 1.98, 22.78, 33.98, 7.48, 12.48, 0.13, 13.61
24.15, 41.31, 7.12, 20.67, 49.19, 5.33, 41.29, 3.15, 0.31, 18.47, 21.00, 0.00, 14.43, 3.22, 24.99, 21.03, 26.97, 4.12, 2.05, 9.73
12.99, 2.26, 12.60, 33.91, 22.10, 21.88, 33.87, 34.68, 45.08, 17.72, 5.72, 36.33, 0.00, 3.22, 49.54, 40.26, 18.06, 40.28, 32.64, 47.53
8.29, 3.18, 38.90, 26.03, 22.32, 0.75, 37.17, 38.57, 2.75, 28.05, 7.43, 15.47, 35.38, 0.00, 2.62, 45.00, 21.77, 41.47, 10.43, 16.53
9.59, 37.51, 14.12, 25.05, 1.14, 21.77, 44.20, 39.79, 29.85, 6.85, 17.13, 24.73, 27.17, 45.59, 0.00, 9.12, 28.20, 18.99, 36.18, 26.60
34.97, 35.54, 9.90, 14.35, 20.97, 39.02, 15.76, 28.00, 35.08, 34.30, 39.09, 33.30, 4.81, 35.91, 41.73, 0.00, 11.58, 21.11, 4.19, 45.03
14.45, 28.18, 42.03, 6.62, 26.90, 20.13, 29.30, 28.68, 44.59, 27.03, 18.76, 31.82, 21.68, 7.10, 8.81, 23.76, 0.00, 38.67, 1.57, 13.45
46.88, 19.31, 18.11, 16.57, 46.53, 9.41, 15.75, 43.48, 22.02, 23.95, 8.80, 38.81, 14.72, 10.98, 43.00, 25.37, 20.64, 0.00, 15.38, 49.09
8.63, 46.77, 27.62, 13.88, 35.39, 4.15, 41.60, 29.28, 46.21, 8.98, 11.53, 29.17, 16.59, 31.24, 28.84, 18.93, 2.19, 45.69, 0.00, 21.63
16.93, 9.59, 47.97, 15.84, 10.52, 27.76, 33.43, 13.44, 21.33, 5.83, 17.00, 27.13, 43.95, 31.75, 44.12, 30.11, 16.01, 40.99, 41.13, 0.00
