0.00, 24.79, 47.29, 44.83, 45.24, 17.79, 35.34, 17.89, 22.11, 20.93, 9.57, 13.69, 22.93, 14.61, 35.92, 23.08, 16.24, 25.31, 41.17, 18.02, 10.62, 36.50, 18.88, 32.93, 17.06, 14.55, 39.71, 25.53, 24.46, 8.14
25.78, 0.00, 20.46, 12.48, 19.89, 10.88, 21.04, 41.10, 13.87, 3.68, 10.52, 35.16, 6.58, 37.45, 33.89, 14.18, 34.49, 45.93, 26.80, 43.97, 49.21, 27.78, 32.38, 11.21, 45.40, 32.13, 35.08, 35.61, 21.89, 34.66
27.13, 39.20, 0.00, 36.59, 17.95, 41.13, 10.65, 31.56, 49.42, 18.01, 4.57, 39.47, 2.40, 3.73, 2.43, 34.26, 14.12, 13.20, 29.66, 5.02, 46.05, 47.70, 40.58, 16.67, 2.57, 38.53, 41.79, 24.25, 14.93, 48.70
48.03, 5.83, 48.40, 0.00, 12.10, 24.06, 10.16, 33.91, 18.02, 15.88, 10.76, 7.75, 13.46, 20.42, 16.81, 27.96, 20.40, 23.65, 35.12, 31.43, 15.16, 10.94, 35.57, 23.43, 12.18, 4.72, 22.04, 28.01, 10.06, 37.15
28.82, 45.65, 40.18, 20.40, 0.00, 20.57, 28.82, 10.47, 28.34, 49.88, 12.48, 24.20, 20.27, 18.87, 36.32, 37.50, 21.67, 38.71, 46.26, 47.39, 11.25, 35.13, 41.44, 36.00, 20.21, 38.38, 6.09, 5.43, 9.14, 4.00
34.03, 1.47, 37.56, 42.60, 13.29, 0.00, 0.65, 34.95, 25.46, 1.62, 5.78, 33.12, 34.44, 41.75, 33.22, 41.17, 43.74, 25.09, 10.60, 42.34, 23.96, 9.67, 8.39, 14.11, 32.15, 13.09, 3.99, 32.84, 31.98, 49.17
14.88, 17.29, 35.20, 30.57, 19.25, 31.17, 0.00, 7.36, 34.60, 23.10, 1.02, 14.69, 3.01, 33.93, 36.80, 46.14, 45.97, 6.68, 5.96, 29.70, 29.95, 14.03, 37.12, 42.07, 29.96, 20.56, 5.68, 43.15, 10.00, 30.56
17.85, 22.64, 12.48, 31.66, 37.22, 32.78, 44.56, 0.00, 28.58, 28.92, 7.68, 12.97, 41.43, 23.10, 44.11, 32.79, 48.15, 3.40, 3.18, 23.41, 23.85, 2.22, 32.50, 2.57, 46.77, 9.89, 9.35, 1.83, 0.26, 8.05
19.43, 24.13, 37.36, 44.14, 28.82, 46.16, 23.26, 25.27, 0.00, 19.27, 36.71, 33.43, 44.20, 4.17, 46.65, 37.48, 5.04, 0.85, 8.27, 15.15, 19.87, 14.86, 44.88, 13.72, 17.96, 44.49, 47.60, 31.93, 41.08, 39.67
27.54, 31.78, 26.56, 34.14, 0.82, 0.75, 25.85, 4.61, 37.34, 0.00, 2.48, 36.29, 31.21, 37.81, 16.94, 1.88, 27.40, 25.22, 49.34, 31.75, 25.40, 37.69, 12.87, 7.15, 1.78, 6.24, 44.13, 16.22, 22.23, 34.61
21.07, 46.95, 26.44, 49.03, 49.23, 36.20, 3.78, 24.03, 46.31, 0.11, 0.00, 8.19, 29.65, 10.05, 4.64, 19.03, 8.20, 31.82, 14.10, 23.62, 37.14, 29.55, 29.20, 9.29, 11.69, 36.85, 43.16, 0.83, 38.45, 6.43
