-- P18 result
--------------------------------------------
HostNestNum = 15, P_a = 0.01
--------------------------------------------
-- 2019-01-06 09:49summary result data
OFV: 11214.5	/ CPU: 1.325	/ department sequence: [9, 13, 16, 15, 8, 11, 12, 14, 2, 4, 7, 6, 5, 10, 18, 3, 17, 1]
-- 2019-01-06 09:49summary result data
OFV: 10971.5	/ CPU: 1.266	/ department sequence: [9, 3, 10, 18, 14, 16, 2, 4, 11, 12, 8, 15, 7, 6, 5, 13, 17, 1]
-- 2019-01-06 09:49summary result data
OFV: 10677.5	/ CPU: 1.909	/ department sequence: [1, 17, 7, 15, 8, 12, 11, 4, 16, 2, 14, 18, 5, 10, 6, 3, 13, 9]
-- 2019-01-06 09:49summary result data
OFV: 10677.5	/ CPU: 1.734	/ department sequence: [1, 17, 7, 15, 8, 12, 11, 4, 16, 2, 14, 18, 5, 10, 6, 3, 13, 9]
-- 2019-01-06 09:49summary result data
OFV: 10677.5	/ CPU: 1.401	/ department sequence: [1, 17, 7, 15, 8, 12, 11, 4, 16, 2, 14, 18, 5, 10, 6, 3, 13, 9]
-- 2019-01-06 09:49summary result data
OFV: 10971.5	/ CPU: 1.923	/ department sequence: [9, 3, 18, 10, 14, 16, 2, 4, 11, 12, 8, 15, 7, 6, 5, 13, 17, 1]
-- 2019-01-06 09:49summary result data
OFV: 11229.5	/ CPU: 1.337	/ department sequence: [9, 13, 17, 5, 6, 7, 8, 15, 12, 4, 2, 14, 16, 11, 18, 10, 3, 1]
-- 2019-01-06 09:49summary result data
OFV: 10650.5	/ CPU: 1.281	/ department sequence: [1, 17, 5, 7, 4, 11, 16, 8, 12, 15, 2, 14, 18, 10, 6, 3, 13, 9]
-- 2019-01-06 09:49summary result data
OFV: 10971.5	/ CPU: 1.396	/ department sequence: [1, 17, 13, 5, 6, 7, 15, 8, 12, 11, 4, 2, 16, 14, 10, 18, 3, 9]
-- 2019-01-06 09:49summary result data
OFV: 10650.5	/ CPU: 1.985	/ department sequence: [9, 13, 3, 6, 10, 18, 14, 2, 15, 12, 8, 16, 11, 4, 7, 5, 17, 1]
