-- P18 result
--------------------------------------------
HostNestNum = 50, P_a = 0.25
--------------------------------------------
-- 2019-01-06 10:06summary result data
OFV: 10905.5	/ CPU: 10.032	/ department sequence: [1, 17, 7, 18, 15, 4, 2, 12, 14, 11, 16, 8, 5, 10, 6, 3, 13, 9]
-- 2019-01-06 10:06summary result data
OFV: 10650.5	/ CPU: 8.972	/ department sequence: [1, 17, 5, 7, 4, 11, 16, 8, 12, 15, 2, 14, 18, 10, 6, 3, 13, 9]
-- 2019-01-06 10:06summary result data
OFV: 10981.5	/ CPU: 17.028	/ department sequence: [9, 3, 10, 18, 14, 2, 15, 12, 8, 16, 11, 4, 7, 6, 5, 13, 17, 1]
-- 2019-01-06 10:06summary result data
OFV: 10650.5	/ CPU: 9.814	/ department sequence: [1, 17, 5, 7, 4, 11, 16, 8, 12, 15, 2, 14, 18, 10, 6, 3, 13, 9]
-- 2019-01-06 10:07summary result data
OFV: 10650.5	/ CPU: 11.89	/ department sequence: [1, 17, 5, 7, 4, 11, 16, 8, 12, 15, 2, 14, 18, 10, 6, 3, 13, 9]
-- 2019-01-06 10:07summary result data
OFV: 10682.5	/ CPU: 9.087	/ department sequence: [1, 17, 5, 7, 15, 8, 12, 11, 4, 2, 16, 14, 18, 10, 6, 3, 13, 9]
-- 2019-01-06 10:07summary result data
OFV: 10981.5	/ CPU: 9.293	/ department sequence: [9, 3, 10, 18, 14, 2, 15, 12, 8, 16, 11, 4, 7, 6, 5, 13, 17, 1]
-- 2019-01-06 10:07summary result data
OFV: 10650.5	/ CPU: 8.886	/ department sequence: [9, 13, 3, 6, 10, 18, 14, 2, 15, 12, 8, 16, 11, 4, 7, 5, 17, 1]
-- 2019-01-06 10:07summary result data
OFV: 10971.5	/ CPU: 11.21	/ department sequence: [1, 17, 13, 5, 6, 7, 15, 8, 12, 11, 4, 2, 16, 14, 10, 18, 3, 9]
-- 2019-01-06 10:07summary result data
OFV: 10971.5	/ CPU: 8.921	/ department sequence: [1, 17, 13, 5, 6, 7, 15, 8, 12, 11, 4, 2, 16, 14, 10, 18, 3, 9]
