0.00, 1.16, 1.76, 1.54, 1.79, 1.49, 1.84, 1.19, 1.00, 1.53, 1.80, 1.55, 1.67, 1.07, 1.71
1.16, 0.00, 1.85, 1.55, 1.10, 1.78, 1.07, 1.10, 1.95, 1.39, 1.68, 1.70, 1.14, 1.35, 1.22
1.76, 1.85, 0.00, 1.48, 1.22, 1.98, 1.90, 1.65, 1.41, 1.24, 1.49, 1.37, 1.42, 1.47, 1.31
1.54, 1.55, 1.48, 0.00, 1.27, 1.16, 1.20, 1.73, 1.84, 1.95, 1.03, 1.34, 1.43, 1.70, 1.88
1.79, 1.10, 1.22, 1.27, 0.00, 1.87, 1.47, 1.60, 1.91, 1.65, 1.23, 1.07, 1.05, 1.04, 1.62
1.49, 1.78, 1.98, 1.16, 1.87, 0.00, 1.64, 1.59, 1.51, 1.24, 1.16, 1.86, 1.44, 1.47, 1.06
1.84, 1.07, 1.90, 1.20, 1.47, 1.64, 0.00, 1.22, 1.70, 1.32, 1.57, 1.95, 1.37, 1.17, 1.42
1.19, 1.10, 1.65, 1.73, 1.60, 1.59, 1.22, 0.00, 1.75, 1.06, 1.16, 1.14, 1.09, 1.91, 1.43
1.00, 1.95, 1.41, 1.84, 1.91, 1.51, 1.70, 1.75, 0.00, 1.25, 1.61, 1.71, 1.69, 1.07, 1.52
1.53, 1.39, 1.24, 1.95, 1.65, 1.24, 1.32, 1.06, 1.25, 0.00, 1.26, 1.61, 1.75, 1.42, 1.39
1.80, 1.68, 1.49, 1.03, 1.23, 1.16, 1.57, 1.16, 1.61, 1.26, 0.00, 1.74, 1.32, 1.98, 1.57
1.55, 1.70, 1.37, 1.34, 1.07, 1.86, 1.95, 1.14, 1.71, 1.61, 1.74, 0.00, 1.31, 1.38, 1.50
1.67, 1.14, 1.42, 1.43, 1.05, 1.44, 1.37, 1.09, 1.69, 1.75, 1.32, 1.31, 0.00, 1.60, 1.07
1.07, 1.35, 1.47, 1.70, 1.04, 1.47, 1.17, 1.91, 1.07, 1.42, 1.98, 1.38, 1.60, 0.00, 1.86
1.71, 1.22, 1.31, 1.88, 1.62, 1.06, 1.42, 1.43, 1.52, 1.39, 1.57, 1.50, 1.07, 1.86, 0.00
