0.00, 43.84, 8.11, 37.34, 15.61, 41.67, 20.11, 36.15, 32.07, 38.75, 0.51, 28.03, 1.89, 32.35, 1.24
11.23, 0.00, 19.02, 24.83, 28.98, 25.85, 19.78, 10.63, 7.54, 34.88, 26.00, 5.31, 28.71, 16.43, 11.08
8.52, 44.99, 0.00, 21.21, 21.92, 7.86, 29.98, 15.04, 32.46, 28.51, 19.38, 44.79, 39.13, 33.29, 2.84
42.99, 40.41, 30.24, 0.00, 26.31, 33.04, 13.73, 44.61, 20.11, 25.10, 31.00, 24.39, 13.56, 41.42, 7.99
10.75, 34.13, 13.63, 31.78, 0.00, 30.94, 46.36, 15.26, 10.89, 25.90, 44.57, 1.10, 18.13, 10.26, 1.86
23.46, 18.83, 28.48, 23.52, 35.26, 0.00, 14.07, 34.08, 45.07, 41.60, 47.59, 18.10, 14.15, 43.38, 35.90
33.76, 12.74, 3.45, 42.76, 32.19, 39.09, 0.00, 42.89, 26.85, 16.20, 23.68, 40.94, 10.52, 15.06, 18.37
15.86, 17.74, 30.05, 28.96, 40.71, 40.01, 4.32, 0.00, 34.00, 44.12, 18.96, 25.33, 13.43, 38.66, 34.27
5.07, 24.09, 1.52, 30.35, 11.36, 35.02, 0.01, 19.83, 0.00, 6.94, 18.56, 12.03, 16.47, 38.94, 46.99
25.77, 25.46, 16.92, 3.96, 39.78, 30.01, 5.20, 21.68, 29.19, 0.00, 8.83, 29.34, 46.73, 45.55, 8.95
27.33, 29.44, 24.16, 9.19, 7.80, 45.28, 45.96, 1.08, 13.79, 17.33, 0.00, 42.27, 29.33, 17.67, 31.38
18.35, 34.66, 9.01, 4.39, 16.33, 26.26, 4.18, 36.95, 18.18, 37.11, 29.27, 0.00, 17.02, 22.13, 34.83
46.63, 3.49, 20.21, 4.45, 21.76, 21.47, 2.53, 10.74, 0.85, 14.69, 13.99, 36.87, 0.00, 34.27, 36.40
25.50, 48.27, 2.49, 32.87, 46.00, 4.61, 43.59, 9.48, 11.83, 29.76, 24.53, 13.90, 20.33, 0.00, 16.75
30.51, 42.44, 46.58, 30.30, 8.36, 49.27, 45.76, 31.65, 41.49, 13.77, 9.02, 13.18, 4.68, 14.93, 0.00
