0.00, 26.34, 1.83, 16.75, 45.81, 1.58, 42.10, 23.60, 46.98, 9.35, 7.86, 38.49, 47.98, 15.78, 8.01, 41.57, 12.35, 9.40, 24.97, 43.59, 39.80, 22.37, 34.81, 22.52, 14.20, 23.33, 20.49, 2.15, 32.31, 32.67, 12.95, 22.27, 24.22, 30.73, 26.22
8.73, 0.00, 14.40, 9.78, 5.32, 39.32, 47.79, 16.98, 35.07, 42.06, 1.92, 19.51, 1.13, 13.73, 29.27, 0.31, 13.82, 16.81, 18.40, 22.81, 20.79, 41.62, 14.72, 17.37, 46.70, 30.42, 46.99, 39.07, 2.94, 26.58, 31.76, 35.61, 48.98, 41.16, 28.82
26.34, 47.97, 0.00, 41.84, 3.87, 4.08, 47.80, 34.33, 12.32, 21.62, 43.21, 1.32, 33.56, 7.61, 45.70, 42.63, 27.13, 41.16, 32.73, 36.86, 35.46, 29.76, 20.31, 40.44, 16.66, 2.46, 41.92, 47.07, 14.99, 14.92, 12.46, 20.27, 5.44, 31.83, 9.93
22.12, 9.25, 42.31, 0.00, 40.81, 40.75, 8.58, 46.72, 25.23, 17.04, 39.59, 41.92, 21.58, 1.60, 44.00, 2.63, 27.73, 8.78, 29.74, 13.52, 5.50, 21.42, 47.26, 38.02, 42.13, 34.51, 3.10, 19.29, 20.86, 12.38, 47.05, 0.28, 24.55, 43.22, 24.61
42.37, 45.09, 10.83, 3.38, 0.00, 17.68, 28.61, 28.24, 23.22, 38.42, 44.12, 43.58, 33.69, 27.95, 13.31, 29.00, 27.62, 25.35, 12.03, 27.48, 22.96, 25.82, 5.06, 18.24, 0.25, 48.87, 39.12, 46.32, 32.75, 12.38, 36.73, 41.48, 23.57, 1.60, 11.07
18.66, 18.51, 48.00, 37.09, 46.94, 0.00, 23.68, 6.95, 18.00, 10.19, 12.57, 30.49, 15.21, 31.28, 32.78, 0.62, 10.25, 9.07, 5.26, 48.70, 44.09, 16.87, 9.69, 28.23, 5.93, 4.75, 31.11, 38.66, 17.53, 48.39, 1.84, 39.47, 46.28, 42.23, 21.23
45.00, 28.62, 44.41, 46.49, 38.32, 37.73, 0.00, 49.59, 34.88, 37.55, 13.67, 42.80, 40.64, 30.06, 7.49, 37.64, 6.06, 48.13, 26.86, 47.53, 9.76, 32.78, 4.37, 46.89, 1.78, 15.24, 18.17, 48.60, 26.32, 27.67, 42.27, 33.22, 30.41, 39.33, 48.98
39.11, 26.66, 49.72, 11.03, 7.18, 5.03, 42.29, 0.00, 7.61, 36.48, 8.34, 38.46, 15.68, 17.69, 22.00, 28.44, 12.50, 15.83, 13.23, 47.24, 17.72, 16.70, 49.83, 6.43, 41.96, 24.54, 8.24, 12.00, 19.61, 20.02, 1.22, 12.70, 2.36, 44.14, 24.82
40.47, 18.49, 7.48, 31.26, 36.80, 30.47, 8.17, 14.04, 0.00, 22.42, 13.67, 48.14, 24.69, 28.96, 35.80, 36.93, 0.65, 47.95, 24.76, 9.05, 43.62, 14.51, 15.00, 41.16, 12.87, 40.61, 27.93, 25.84, 28.44, 3.93, 9.66, 28.82, 16.31, 46.43, 42.30
17.91, 9.26, 4.08, 45.09, 38.31, 46.20, 46.41, 34.10, 9.73, 0.00, 4.45, 33.36, 24.00, 34.73, 40.80, 30.43, 9.83, 6.91, 43.56, 9.83, 17.45, 9.56, 49.81, 49.79, 47.67, 42.79, 39.79, 20.52, 8.42, 2.88, 3.33, 40.23, 28.11, 40.02, 21.07
14.34, 30.40, 2.11, 39.80, 47.49, 26.94, 29.34, 5.20, 7.84, 46.16, 0.00, 48.79, 39.31, 30.09, 41.94, 32.59, 17.77, 30.56, 20.89, 10.01, 33.33, 13.18, 30.73, 29.06, 39.43, 39.37, 3.88, 49.39, 9.93, 5.28, 45.94, 36.72, 45.42, 5.94, 34.32
16.43, 27.12, 5.19, 2.63, 15.31, 37.62, 24.75, 30.22, 42.84, 14.19, 41.94, 0.00, 17.59, 34.67, 8.80, 16.30, 13.62, 47.73, 44.39, 0.88, 31.72, 36.64, 39.65, 37.25, 12.91, 22.79, 44.06, 19.69, 49.85, 24.23, 26.89, 24.61, 39.81, 36.65, 44.22
35.17, 8.03, 1.20, 44.62, 9.48, 6.75, 32.51, 34.81, 9.49, 34.38, 46.05, 44.53, 0.00, 42.14, 5.67, 41.00, 9.10, 45.82, 1.39, 28.93, 26.33, 14.32, 38.41, 40.82, 32.18, 39.40, 31.38, 41.50, 25.80, 17.35, 31.22, 36.80, 3.33, 8.77, 2.98
29.60, 44.37, 24.76, 26.00, 34.74, 10.38, 43.63, 1.68, 5.08, 45.49, 16.11, 41.62, 32.75, 0.00, 7.75, 47.86, 36.91, 23.03, 21.44, 48.84, 44.62, 14.79, 33.58, 22.01, 48.90, 32.32, 5.86, 40.54, 46.86, 40.07, 27.75, 16.75, 25.72, 11.23, 25.65
42.55, 34.36, 28.04, 9.65, 20.76, 36.16, 39.70, 36.49, 18.91, 1.84, 43.57, 31.15, 27.09, 16.19, 0.00, 7.22, 5.77, 10.63, 43.02, 11.82, 1.33, 10.55, 12.36, 41.74, 32.13, 39.81, 11.12, 21.81, 29.04, 43.19, 15.90, 20.44, 18.44, 47.00, 48.29
12.90, 36.98, 24.62, 19.76, 22.12, 2.95, 41.26, 47.17, 46.48, 40.76, 34.11, 44.40, 32.41, 42.98, 8.80, 0.00, 13.14, 40.25, 34.58, 35.67, 45.33, 22.29, 47.71, 17.04, 35.64, 34.08, 10.32, 28.56, 19.52, 36.65, 46.81, 22.39, 0.16, 14.44, 39.77
37.85, 5.28, 38.60, 33.13, 23.74, 27.76, 41.57, 1.43, 25.15, 15.40, 45.38, 22.03, 44.27, 16.00, 46.83, 7.60, 0.00, 8.67, 1.53, 2.66, 35.78, 12.24, 32.46, 39.31, 19.45, 23.34, 26.00, 15.71, 23.06, 12.85, 46.26, 45.40, 21.08, 3.05, 17.21
7.59, 40.12, 18.46, 20.20, 42.81, 32.52, 24.62, 8.53, 48.61, 6.41, 34.77, 28.79, 21.77, 23.74, 2.64, 1.04, 36.77, 0.00, 36.96, 7.75, 9.33, 7.68, 6.92, 40.03, 28.14, 36.23, 39.17, 40.84, 17.71, 48.56, 12.07, 3.51, 7.03, 5.92, 1.92
